chrom,start,end,strand,score_,occupancy
chr11,3602211,3602230,-,100.4661,0.6652644094850623
chr11,3602330,3602349,-,100.4661,0.6652644094850623
chr11,3602348,3602367,-,100.4661,0.6652644094850623
chr11,3602389,3602408,-,100.4661,0.6652644094850623
chr11,3602487,3602506,-,100.4661,0.6652644094850623
chr11,3602523,3602542,-,100.4661,0.6652644094850623
chr11,3602541,3602560,-,100.4661,0.6652644094850623
chr11,3602662,3602681,-,100.4661,0.6652644094850623
chr11,3602760,3602779,-,100.4661,0.6652644094850623
chr11,3602793,3602812,-,100.4661,0.6652644094850623
chr11,3602852,3602871,-,100.4661,0.6652644094850623
chr11,3602894,3602913,-,100.4661,0.6652644094850623
chr11,3697633,3697652,+,15.47581,0.015501437473352834
chr11,3714643,3714662,+,94.12062,0.5866859629101525
chr11,3714801,3714820,-,94.12062,0.5866859629101525
chr11,3714875,3714894,+,94.12062,0.5866859629101525
chr11,3754038,3754057,+,27.08572,0.029999089617372802
chr11,3771522,3771541,+,99.2252,0.6506553925769063
chr11,3786785,3786804,-,108.56329,0.7497227235131266
chr11,3804831,3804850,-,62.12389,0.19043054999194023
chr11,3805218,3805237,-,62.12389,0.19043054999194023
chr11,3805541,3805560,-,62.12389,0.19043054999194023
chr11,3834508,3834527,-,79.83524,0.3921605675506493
chr11,3837938,3837957,-,58.18058,0.15786078966556283
chr11,3880036,3880055,-,74.46588,0.32264146055682225
chr11,3914294,3914313,-,68.36705,0.2517724613523581
chr11,3914718,3914737,-,68.36705,0.2517724613523581
chr11,3918906,3918925,-,75.0761,0.330252927557926
chr11,3918946,3918965,-,75.0761,0.330252927557926
chr11,3921494,3921513,+,92.87858,0.5703309568844686
chr11,3921685,3921704,-,92.87858,0.5703309568844686
chr11,3970014,3970033,-,60.27027,0.17453002227152167
chr11,3992473,3992492,-,33.47819,0.04291270941684205
chr11,4001777,4001796,+,104.09415,0.7055251768909108
chr11,4006657,4006676,+,41.79599,0.06773743111763851
chr11,4029525,4029544,+,77.07775,0.3557822847041098
chr11,4039877,4039896,+,25.0612,0.026757819236195062
chr11,4053777,4053796,+,93.44221,0.5777846295128218
chr11,4080419,4080438,-,89.3372,0.5225200137963935
chr11,4083554,4083573,-,73.12745,0.3062532360951502
chr11,4083745,4083764,+,73.12745,0.3062532360951502
chr11,4094548,4094567,+,79.02341,0.3813242389640085
chr11,4098316,4098335,-,24.42187,0.025806793526697566
chr11,4098464,4098483,-,24.42187,0.025806793526697566
chr11,4124104,4124123,-,111.06486,0.771772542224134
chr11,4127255,4127274,-,42.50581,0.07038340022813629
chr11,4127265,4127284,-,42.50581,0.07038340022813629
chr11,4133635,4133654,+,66.47587,0.23193303640162977
chr11,4135085,4135104,+,86.94035,0.4895360272802993
chr11,4209742,4209761,-,39.43444,0.059582520904343975
chr11,4209745,4209764,-,39.43444,0.059582520904343975
chr11,4209747,4209766,+,39.43444,0.059582520904343975
chr11,4219673,4219692,-,52.39356,0.11833456302417068
chr11,4220624,4220643,+,80.64691,0.4030844026195672
chr11,4258105,4258124,+,18.75482,0.01869757728626552
chr11,4258740,4258759,-,104.98426,0.7148143732526449
chr11,4258971,4258990,+,104.98426,0.7148143732526449
chr11,4261260,4261279,-,81.07064,0.4088190366479781
chr11,4422108,4422127,-,21.31866,0.02163872511096336
chr11,4439035,4439054,+,26.2555,0.02862632880126358
chr11,4451303,4451322,-,90.62541,0.5400785012886176
chr11,4525605,4525624,-,43.38504,0.07379259735331858
chr11,4734376,4734395,+,87.70425,0.5000789353224638
chr11,4754224,4754243,+,87.33277,0.49495443035837344
chr11,4773041,4773060,-,97.28774,0.6270642617691651
chr11,4773107,4773126,-,97.28774,0.6270642617691651
chr11,4802555,4802574,+,11.48462,0.012329254217092125
chr11,4821686,4821705,-,68.01456,0.24799362289383275
chr11,4822621,4822640,+,80.35728,0.3991768383923493
chr11,4836925,4836944,-,72.23943,0.295624945827831
chr11,4843637,4843656,+,106.10113,0.7261304659200586
chr11,4853220,4853239,-,45.92698,0.08451464418640056
chr11,4866068,4866087,-,81.4723,0.4142732349006502
chr11,4883184,4883203,+,99.11417,0.6493286362563708
chr11,4883412,4883431,+,99.11417,0.6493286362563708
chr11,4885568,4885587,-,59.43248,0.1676885766669583
chr11,4885578,4885597,-,59.43248,0.1676885766669583
chr11,4900620,4900639,+,111.01339,0.7713382970488024
chr11,4916060,4916079,-,82.3559,0.42632722273681645
chr11,4916135,4916154,-,82.3559,0.42632722273681645
chr11,4916219,4916238,-,82.3559,0.42632722273681645
chr11,4916298,4916317,+,82.3559,0.42632722273681645
chr11,4947012,4947031,+,77.87606,0.3661832499009797
chr11,4947223,4947242,-,77.87606,0.3661832499009797
chr11,4947226,4947245,-,77.87606,0.3661832499009797
chr11,4947228,4947247,+,77.87606,0.3661832499009797
chr11,4947231,4947250,+,77.87606,0.3661832499009797
chr11,4973380,4973399,+,54.31897,0.1304430894975211
chr11,4975816,4975835,-,85.51062,0.46977327736645863
chr11,4984447,4984466,-,82.88525,0.4335800662422958
chr11,5015879,5015898,+,49.6917,0.10297877561912658
chr11,5017710,5017729,+,50.28382,0.10618667667700168
chr11,5060019,5060038,+,96.17426,0.6131070986182012
chr11,5065735,5065754,-,57.28505,0.15111742755287727
chr11,5075063,5075082,+,92.47562,0.5649716557000333
chr11,5075950,5075969,-,43.93909,0.07601794300963106
chr11,5091854,5091873,+,47.3317,0.09102628571075967
chr11,5091895,5091914,+,47.3317,0.09102628571075967
chr11,5115074,5115093,+,94.85146,0.5961830115449436
chr11,5115135,5115154,+,94.85146,0.5961830115449436
chr11,5160911,5160930,+,88.05959,0.5049753357886774
chr11,5161332,5161351,-,88.05959,0.5049753357886774
chr11,5290871,5290890,+,66.8822,0.23610492816713757
chr11,5307115,5307134,+,14.06889,0.01430076544975082
chr11,5307207,5307226,-,14.06889,0.01430076544975082
chr11,5356895,5356914,+,24.92349,0.026550136508396587
chr11,5356933,5356952,-,24.92349,0.026550136508396587
chr11,5374341,5374360,+,20.14476,0.0202398168530963
chr11,5374379,5374398,-,20.14476,0.0202398168530963
chr11,5401376,5401395,-,17.84861,0.017754711926155544
chr11,5401571,5401590,+,17.84861,0.017754711926155544
chr11,5451517,5451536,-,11.26077,0.012171674211061417
chr11,5469064,5469083,+,95.66239,0.60660053666182
chr11,5469265,5469284,+,95.66239,0.60660053666182
chr11,5474349,5474368,-,79.24649,0.3842923535964935
chr11,5485433,5485452,+,72.97164,0.30437392160442966
chr11,5497050,5497069,+,62.27017,0.1917304387416939
chr11,5522331,5522350,-,16.1448,0.0161066162703835
chr11,5629275,5629294,-,105.47973,0.7198813780832329
chr11,5643274,5643293,+,72.75452,0.3017653168102378
chr11,5650502,5650521,+,49.88669,0.10402565107891461
chr11,5691945,5691964,-,59.29853,0.16661448817331825
chr11,5703521,5703540,-,13.70548,0.014005811653611111
chr11,5742316,5742335,+,39.02353,0.05826052516523426
chr11,5742354,5742373,-,39.02353,0.05826052516523426
chr11,5744952,5744971,-,20.30281,0.020422878135615826
chr11,5769066,5769085,+,21.32105,0.02164166740414147
chr11,5782771,5782790,-,36.81958,0.05162644256754288
chr11,5788804,5788823,-,104.15982,0.7062186361778083
chr11,5797459,5797478,+,38.01946,0.05514471575286726
chr11,5838029,5838048,+,83.68473,0.4445699742520451
chr11,5858922,5858941,+,105.0743,0.7157407225891925
chr11,5880109,5880128,+,85.51062,0.46977327736645863
chr11,5886426,5886445,-,102.34296,0.6865631983956236
chr11,5886454,5886473,+,102.34296,0.6865631983956236
chr11,5912819,5912838,-,96.6311,0.6188668202525562
chr11,5953334,5953353,-,27.5125,0.030729340747131555
chr11,5991102,5991121,+,81.70606,0.41745510306889416
chr11,5996134,5996153,+,104.20304,0.7066743255092646
chr11,6033339,6033358,-,69.3802,0.2628367326164414
chr11,6181041,6181060,+,37.31327,0.05304766547601476
chr11,6187922,6187941,-,61.0305,0.18092355429383963
chr11,6187988,6188007,-,61.0305,0.18092355429383963
chr11,6187993,6188012,+,61.0305,0.18092355429383963
chr11,6222389,6222408,+,58.25118,0.15840252438311395
chr11,6223520,6223539,+,32.69129,0.04107433071263777
chr11,6261859,6261878,-,119.52025,0.8324860005993431
chr11,6274994,6275013,-,80.18382,0.39684158601867925
chr11,6336901,6336920,-,28.64781,0.0327565266840697
chr11,6336954,6336973,-,28.64781,0.0327565266840697
chr11,6336997,6337016,-,28.64781,0.0327565266840697
chr11,6352152,6352171,-,25.13568,0.02687080019354342
chr11,6366149,6366168,+,130.13751,0.8828322274948006
chr11,6402902,6402921,+,114.54002,0.7992353394550147
chr11,6411652,6411671,-,112.95825,0.7871855508870568
chr11,6411863,6411882,-,112.95825,0.7871855508870568
chr11,6436615,6436634,+,110.29425,0.7651858922675531
chr11,6436636,6436655,+,110.29425,0.7651858922675531
chr11,6444269,6444288,+,9.06462,0.010727404681345616
chr11,6465223,6465242,-,29.91259,0.03516671929036499
chr11,6465305,6465324,+,29.91259,0.03516671929036499
chr11,6490310,6490329,-,87.71947,0.5002887760944187
chr11,6523698,6523717,+,33.16134,0.042163231695069206
chr11,6523867,6523886,+,33.16134,0.042163231695069206
chr11,6528725,6528744,+,104.28809,0.7075694163999459
chr11,6528884,6528903,-,104.28809,0.7075694163999459
chr11,6558415,6558434,+,37.50748,0.05361677973300896
chr11,6628727,6628746,+,109.06193,0.7542722824873989
chr11,6629196,6629215,+,109.06193,0.7542722824873989
chr11,6629234,6629253,-,109.06193,0.7542722824873989
chr11,6629886,6629905,-,22.92346,0.023704852170367264
chr11,6636158,6636177,+,85.70587,0.47247262413702784
chr11,6636334,6636353,+,85.70587,0.47247262413702784
chr11,6647987,6648006,-,77.2903,0.35854013626986164
chr11,6653145,6653164,-,60.69164,0.1780518646319099
chr11,6655085,6655104,+,54.31897,0.1304430894975211
chr11,6683781,6683800,-,18.98969,0.018949849201030513
chr11,6769042,6769061,-,96.61237,0.6186315755390779
chr11,6881795,6881814,+,88.94735,0.517178044102861
chr11,6918732,6918751,-,54.31897,0.1304430894975211
chr11,6918742,6918761,-,54.31897,0.1304430894975211
chr11,7140697,7140716,-,57.96516,0.15621697709329813
chr11,7144541,7144560,+,60.44461,0.17598058092844698
chr11,7161779,7161798,-,90.14654,0.5335698991399992
chr11,7161991,7162010,-,90.14654,0.5335698991399992
chr11,7195130,7195149,-,48.14506,0.09499865277154573
chr11,7200206,7200225,+,79.9196,0.3932919394112462
chr11,7210518,7210537,+,69.30612,0.26201762919362215
chr11,7214924,7214943,+,67.44953,0.24201330102004737
chr11,7215852,7215871,+,71.8723,0.2912905088201151
chr11,7280086,7280105,-,30.28218,0.03590264754753052
chr11,7280089,7280108,+,30.28218,0.03590264754753052
chr11,7444685,7444704,-,46.11628,0.08536699835218726
chr11,8245829,8245848,-,35.40174,0.04774189173761376
chr11,8302999,8303018,-,54.44003,0.1312381882802242
chr11,8405734,8405753,-,113.52808,0.7916122279962439
chr11,8424396,8424415,+,75.89672,0.3406187391679309
chr11,8524011,8524030,-,80.41351,0.39993466391082505
chr11,8535078,8535097,+,80.09924,0.395704304109555
chr11,8545966,8545985,+,87.38908,0.4957315463820008
chr11,8566434,8566453,-,94.65596,0.593652304801844
chr11,8566525,8566544,+,94.65596,0.593652304801844
chr11,8664586,8664605,-,39.02353,0.05826052516523426
chr11,8668603,8668622,-,36.78005,0.0515142094212206
chr11,8860059,8860078,-,67.61555,0.24376058101056838
chr11,8861061,8861080,-,61.5336,0.18525221443912895
chr11,8870248,8870267,+,32.11952,0.039785968154191366
chr11,8870308,8870327,+,32.11952,0.039785968154191366
chr11,8881710,8881729,-,72.23943,0.295624945827831
chr11,8955911,8955930,-,73.76316,0.3139832403631952
chr11,8957216,8957235,-,93.1084,0.5733763357665662
chr11,8983406,8983425,+,69.18853,0.26072068574874485
chr11,9136646,9136665,-,85.50067,0.4696357253891594
chr11,9249810,9249829,-,66.27856,0.2299252942414009
chr11,9317463,9317482,+,49.6917,0.10297877561912658
chr11,9347920,9347939,+,79.9196,0.3932919394112462
chr11,9347984,9348003,+,79.9196,0.3932919394112462
chr11,9481683,9481702,+,26.45729,0.02895428086715878
chr11,9648186,9648205,-,36.70881,0.051312526133828834
chr11,10205451,10205470,+,55.44092,0.1379686334545424
chr11,11131878,11131897,-,57.37835,0.15180892971153095
chr11,11131880,11131899,+,57.37835,0.15180892971153095
chr11,11131926,11131945,+,57.37835,0.15180892971153095
chr11,11140817,11140836,-,19.16726,0.019142786225015446
chr11,11239527,11239546,-,69.09958,0.2597422793447312
chr11,11394872,11394891,+,16.98545,0.016900082353425102
chr11,11455239,11455258,+,67.61555,0.24376058101056838
chr11,11461687,11461706,+,104.04605,0.705016435393981
chr11,11462059,11462078,+,104.04605,0.705016435393981
chr11,11500108,11500127,+,57.37835,0.15180892971153095
chr11,11557311,11557330,+,87.38908,0.4957315463820008
chr11,11742925,11742944,-,51.86378,0.11517641445378389
chr11,11788589,11788608,-,83.05906,0.4359659293076124
chr11,11788891,11788910,-,83.05906,0.4359659293076124
chr11,11812141,11812160,+,90.62541,0.5400785012886176
chr11,11820401,11820420,+,58.29548,0.15874321009623685
chr11,11844474,11844493,-,58.25118,0.15840252438311395
chr11,11973602,11973621,-,102.71037,0.6906158404595506
chr11,11975085,11975104,-,56.84792,0.1479115730722309
chr11,12025861,12025880,+,84.65851,0.4579990264998926
chr11,12291574,12291593,-,83.23655,0.4384043544064281
chr11,12314876,12314895,+,32.7626,0.041237780166271346
chr11,12359522,12359541,-,31.31921,0.0380473934335874
chr11,12516417,12516436,-,58.54429,0.16066755325792348
chr11,12532590,12532609,-,58.50385,0.1603535230401135
chr11,12540646,12540665,-,94.06973,0.5860210238939207
chr11,12540690,12540709,-,94.06973,0.5860210238939207
chr11,12543230,12543249,-,17.98432,0.01789288343275379
chr11,12559429,12559448,-,38.01946,0.05514471575286726
chr11,12579363,12579382,+,61.69545,0.18666134577725316
chr11,12811376,12811395,+,73.7108,0.31334282677561237
chr11,12811403,12811422,-,73.7108,0.31334282677561237
chr11,12990677,12990696,+,36.41209,0.05048048302264536
chr11,16261427,16261446,+,80.44988,0.400425040409661
chr11,16412815,16412834,-,49.33445,0.10108474682818648
chr11,16533103,16533122,-,44.74865,0.07937979371937826
chr11,16623871,16623890,+,23.70809,0.024783829496480125
chr11,16871271,16871290,-,83.02445,0.43549068111076333
chr11,16948966,16948985,-,62.94938,0.1978528541541542
chr11,17019518,17019537,+,45.92698,0.08451464418640056
chr11,17083121,17083140,+,44.5492,0.07853920504674514
chr11,17160454,17160473,-,63.40786,0.2020663728575179
chr11,17192325,17192344,+,32.81981,0.04136935975662831
chr11,17280047,17280066,+,50.28382,0.10618667667700168
chr11,17284219,17284238,-,85.02005,0.46299298539508155
chr11,17460087,17460106,+,79.9196,0.3932919394112462
chr11,17465036,17465055,+,27.56844,0.030826322749411238
chr11,17852571,17852590,+,66.20353,0.22916493294861187
chr11,18011229,18011248,+,29.82574,0.034995899646061916
chr11,18151964,18151983,+,16.3795,0.01632438434349462
chr11,18370889,18370908,+,50.83699,0.10926214509606233
chr11,18371033,18371052,+,50.83699,0.10926214509606233
chr11,18877636,18877655,+,22.50611,0.023149724789393547
chr11,19024643,19024662,-,29.64171,0.03463657617942583
chr11,19527752,19527771,+,26.15091,0.02845776663255178
chr11,19535325,19535344,-,13.45417,0.013805354417359061
chr11,19607756,19607775,+,20.14476,0.0202398168530963
chr11,19608158,19608177,-,20.14476,0.0202398168530963
chr11,19615228,19615247,+,23.70809,0.024783829496480125
chr11,19761248,19761267,-,61.69545,0.18666134577725316
chr11,19823617,19823636,+,18.97272,0.018931510640324695
chr11,19830825,19830844,+,82.52202,0.42860099704150095
chr11,19835244,19835263,+,56.93398,0.14853830979625487
chr11,19835426,19835445,-,56.93398,0.14853830979625487
chr11,19912832,19912851,+,39.02353,0.05826052516523426
chr11,19920573,19920592,+,39.18964,0.05879160704653968
chr11,19946110,19946129,+,46.00496,0.08486482780189199
chr11,19946901,19946920,-,56.27176,0.14377108869330438
chr11,19972656,19972675,+,20.14476,0.0202398168530963
chr11,20026121,20026140,-,24.78605,0.02634442232564517
chr11,20031738,20031757,-,96.95295,0.6228969657990622
chr11,20045783,20045802,-,38.80798,0.05757805884978147
chr11,20047030,20047049,-,38.68902,0.057204621717127396
chr11,20056316,20056335,+,32.22506,0.04002083614136435
chr11,20056317,20056336,-,32.22506,0.04002083614136435
chr11,20056356,20056375,-,32.22506,0.04002083614136435
chr11,20067724,20067743,-,41.79426,0.06773109585753141
chr11,20072372,20072391,-,61.72556,0.1869243870674132
chr11,20133104,20133123,+,79.70953,0.39047644190112746
chr11,20135535,20135554,-,17.82331,0.01772906903244236
chr11,20143884,20143903,+,70.51031,0.27552629347829477
chr11,20201128,20201147,+,95.80115,0.6083697864384482
chr11,20214952,20214971,+,102.07986,0.683637270015044
chr11,20216609,20216628,+,32.7626,0.041237780166271346
chr11,20231704,20231723,-,43.59469,0.07462755410544601
chr11,20234413,20234432,-,23.8141,0.024933225725155415
chr11,20245032,20245051,+,24.05366,0.025274063859521263
chr11,20304544,20304563,+,121.02994,0.8412411564436704
chr11,20333301,20333320,-,50.46438,0.1071821286859663
chr11,20364400,20364419,-,23.24171,0.024136860632327076
chr11,20401072,20401091,-,50.25055,0.10600413872940685
chr11,20446071,20446090,+,102.08745,0.6837219555699416
chr11,20455165,20455184,+,92.6933,0.5678698113227919
chr11,20455184,20455203,-,92.6933,0.5678698113227919
chr11,20455186,20455205,+,92.6933,0.5678698113227919
chr11,20480996,20481015,+,53.56063,0.12555424091932338
chr11,20481034,20481053,-,53.56063,0.12555424091932338
chr11,20532444,20532463,-,16.1448,0.0161066162703835
chr11,20532571,20532590,-,16.1448,0.0161066162703835
chr11,20592212,20592231,-,80.2154,0.3972664548935112
chr11,20639026,20639045,-,91.75029,0.5552656403993944
chr11,20649705,20649724,-,23.3185,0.02424224214095144
chr11,20661821,20661840,+,103.42464,0.6983820933969036
chr11,20663432,20663451,-,19.97824,0.020048681772734406
chr11,20672001,20672020,-,45.38466,0.08211513352577585
chr11,20691195,20691214,-,91.75029,0.5552656403993944
chr11,20742802,20742821,-,30.21759,0.03577297737280482
chr11,20794318,20794337,-,113.19089,0.7890045388515433
chr11,20794384,20794403,+,113.19089,0.7890045388515433
chr11,20794780,20794799,+,113.19089,0.7890045388515433
chr11,20914134,20914153,-,72.98737,0.30456337358582297
chr11,21096796,21096815,-,44.74865,0.07937979371937826
chr11,21178540,21178559,-,18.59958,0.01853264480643881
chr11,21308301,21308320,+,40.43705,0.06292644876629047
chr11,21433853,21433872,-,51.78546,0.11471574292949616
chr11,21468600,21468619,+,45.23436,0.08146112504567801
chr11,21468674,21468693,-,45.23436,0.08146112504567801
chr11,21634329,21634348,+,44.4604,0.07816756632774523
chr11,21659166,21659185,+,36.41209,0.05048048302264536
chr11,21712428,21712447,-,19.52296,0.01953507310075768
chr11,21738680,21738699,+,27.39182,0.030521123751818563
chr11,21950355,21950374,-,34.57011,0.04559389614862032
chr11,21974318,21974337,-,32.81981,0.04136935975662831
chr11,21998399,21998418,-,31.06586,0.037512355444506464
chr11,22225815,22225834,+,32.47781,0.04058870384533599
chr11,22234956,22234975,-,91.2252,0.5481953182767988
chr11,22315977,22315996,+,50.28382,0.10618667667700168
chr11,22437740,22437759,-,52.55511,0.11931227441603315
chr11,22516285,22516304,+,25.35579,0.027207405084525783
chr11,22617762,22617781,-,97.96223,0.6353807064401045
chr11,22617927,22617946,-,97.96223,0.6353807064401045
chr11,22617929,22617948,+,97.96223,0.6353807064401045
chr11,22631685,22631704,+,48.69681,0.0977803847871487
chr11,22677532,22677551,+,18.22626,0.01814183241148488
chr11,22710679,22710698,+,46.63814,0.0877569981301305
chr11,22710851,22710870,+,46.63814,0.0877569981301305
chr11,22777696,22777715,+,67.63763,0.24399358366170462
chr11,22950319,22950338,+,78.69511,0.37697002608310726
chr11,22958174,22958193,-,30.25234,0.03584268506627767
chr11,22965806,22965825,+,66.88119,0.23609449623123788
chr11,22969661,22969680,-,38.41579,0.056355469700930944
chr11,22987491,22987510,+,80.0842,0.39550217034119867
chr11,23013768,23013787,+,93.1084,0.5733763357665662
chr11,23018417,23018436,+,23.08644,0.02392513978147167
chr11,23115190,23115209,+,30.53065,0.03640569515371256
chr11,23149957,23149976,+,51.68845,0.11414734298179775
chr11,23185409,23185428,+,35.17596,0.04714942975783342
chr11,23261693,23261712,-,27.10947,0.03003928274083102
chr11,23272224,23272243,-,17.29557,0.0172023855451367
chr11,23357345,23357364,+,43.16971,0.07294393286689997
chr11,23430160,23430179,-,23.05485,0.023882286750240306
chr11,23430162,23430181,+,23.05485,0.023882286750240306
chr11,23430200,23430219,-,23.05485,0.023882286750240306
chr11,23430387,23430406,-,23.05485,0.023882286750240306
chr11,23430397,23430416,-,23.05485,0.023882286750240306
chr11,23436258,23436277,+,21.31866,0.02163872511096336
chr11,23565980,23565999,-,117.66741,0.8209203069428888
chr11,23679404,23679423,+,51.57789,0.1135025175842792
chr11,23679442,23679461,-,51.57789,0.1135025175842792
chr11,23777682,23777701,-,36.78005,0.0515142094212206
chr11,23855577,23855596,+,108.01287,0.7446112916865114
chr11,23954555,23954574,-,19.83918,0.01989042001441953
chr11,23979418,23979437,+,122.74099,0.8504721338186279
chr11,23979510,23979529,+,122.74099,0.8504721338186279
chr11,24008426,24008445,+,35.40174,0.04774189173761376
chr11,24049390,24049409,+,102.896,0.6926485277812958
chr11,24053077,24053096,+,77.21601,0.35757525678784546
chr11,24081090,24081109,+,31.94311,0.03939632690819134
chr11,24140108,24140127,-,24.92349,0.026550136508396587
chr11,24140209,24140228,-,24.92349,0.026550136508396587
chr11,24247493,24247512,-,41.79599,0.06773743111763851
chr11,24332570,24332589,-,26.86438,0.029627000153765737
chr11,24690123,24690142,+,80.09924,0.395704304109555
chr11,25046202,25046221,+,45.93668,0.08455813271857672
chr11,25148273,25148292,+,31.19023,0.03777409901642168
chr11,25301343,25301362,-,63.6192,0.2040305544687369
chr11,25435830,25435849,+,42.02966,0.06859817385489766
chr11,25862970,25862989,-,74.46588,0.32264146055682225
chr11,26074081,26074100,-,57.96516,0.15621697709329813
chr11,26126100,26126119,-,29.91259,0.03516671929036499
chr11,26201097,26201116,+,106.10113,0.7261304659200586
chr11,26201107,26201126,+,106.10113,0.7261304659200586
chr11,26387442,26387461,+,33.88401,0.04389118594406134
chr11,26527048,26527067,-,60.26844,0.1745148454051472
chr11,26961791,26961810,-,87.73068,0.5004433239774873
chr11,26996903,26996922,-,47.49623,0.09181766290393119
chr11,27264410,27264429,+,54.44003,0.1312381882802242
chr11,27753774,27753793,+,97.20154,0.6259937436631288
chr11,28020935,28020954,+,16.72373,0.0166490226651857
chr11,28020945,28020964,+,16.72373,0.0166490226651857
chr11,28584363,28584382,-,82.96857,0.4347235318067028
chr11,28808837,28808856,+,43.59469,0.07462755410544601
chr11,28812053,28812072,-,41.79426,0.06773109585753141
chr11,28934666,28934685,-,34.45126,0.045294516623738325
chr11,29373476,29373495,+,29.55444,0.034467422470581995
chr11,29373666,29373685,+,29.55444,0.034467422470581995
chr11,29513111,29513130,+,16.12815,0.01609127635216177
chr11,29676893,29676912,+,54.31897,0.1304430894975211
chr11,29692665,29692684,-,49.57547,0.10235916351115779
chr11,29692731,29692750,+,49.57547,0.10235916351115779
chr11,29693617,29693636,-,78.23231,0.37086122306153796
chr11,29709684,29709703,+,38.01946,0.05514471575286726
chr11,29724329,29724348,+,54.44003,0.1312381882802242
chr11,29862204,29862223,+,47.90004,0.09378605117452286
chr11,29885355,29885374,-,51.73119,0.11439746446321107
chr11,30057469,30057488,-,91.2252,0.5481953182767988
chr11,30092133,30092152,+,21.0884,0.021357080185150104
chr11,30222792,30222811,-,55.9439,0.14145777104259294
chr11,30238127,30238146,+,61.36234,0.18376994922807208
chr11,30609090,30609109,-,23.70809,0.024783829496480125
chr11,30676259,30676278,+,18.99883,0.018959733513935387
chr11,30799687,30799706,-,73.16569,0.3067153996932194
chr11,31248668,31248687,+,30.25234,0.03584268506627767
chr11,31373667,31373686,-,95.83027,0.6087405716056121
chr11,31615318,31615337,-,76.47607,0.3480223688588109
chr11,31638189,31638208,-,88.39264,0.5095588122622189
chr11,31641616,31641635,-,47.90004,0.09378605117452286
chr11,31664312,31664331,-,23.19026,0.024066503804390592
chr11,31669649,31669668,+,30.34954,0.036038359729693686
chr11,31675601,31675620,+,29.04649,0.033498546523249864
chr11,31694171,31694190,-,74.62273,0.32458979927682446
